host,status,grade,score,verdict,ad_requests,ad_domains,ad_slots,sticky_ads,popups,trackers,ad_weight_pct,refs,starred,pages,url,checked_utc,error
www.airnavradar.com,,F,25.0,Ad-saturated / hostile,18,14,1,0,0,6,46.4,1,1,Misc,https://www.airnavradar.com/,2026-08-14T17:12:05+00:00,
gamesfrog.com,,F,25.3,Ad-saturated / hostile,58,8,2,1,0,9,2.4,2,2,Gaming,https://gamesfrog.com/,2026-08-13T17:57:57+00:00,
anilist.co,,F,25.8,Ad-saturated / hostile,883,86,1,0,0,3,25.4,4,4,Reading Streaming,https://anilist.co/,2026-08-13T16:09:28+00:00,
us-phone-number.com,,F,26.0,Ad-saturated / hostile,35,3,4,0,0,0,83.7,2,1,Storage,https://us-phone-number.com/,2026-08-14T14:46:47+00:00,
voz.vn,,F,26.3,Ad-saturated / hostile,424,67,2,0,0,1,16.3,2,2,Non-Eng,https://voz.vn/,2026-08-13T20:28:46+00:00,
www.supercook.com,,F,26.5,Ad-saturated / hostile,481,84,1,0,0,1,25.9,2,2,Misc,https://www.supercook.com/,2026-08-13T18:14:19+00:00,
netgames.io,,F,27.5,Ad-saturated / hostile,39,7,1,0,0,3,81.7,2,2,Gaming,https://netgames.io/,2026-08-13T17:57:57+00:00,
orangefreesounds.com,,F,27.5,Ad-saturated / hostile,35,4,3,0,0,1,46.0,2,2,Music,https://orangefreesounds.com/,2026-08-13T20:28:46+00:00,
soundcloud.com,,F,27.5,Ad-saturated / hostile,62,28,0,0,0,5,36.0,5,3,Mobile Music,https://soundcloud.com/,2026-08-13T16:09:28+00:00,
sqlbolt.com,,F,27.5,Ad-saturated / hostile,32,7,1,0,0,3,57.0,1,1,Educational,https://sqlbolt.com/,2026-08-14T14:46:47+00:00,
whereyouwatch.com,,F,27.5,Ad-saturated / hostile,25,4,3,0,0,1,50.7,2,2,Streaming,https://whereyouwatch.com/latest-reports/,2026-08-13T20:28:46+00:00,
drumbit.app,online,F,27.5,Ad-saturated / hostile,28,5,2,0,0,5,33.8,1,1,Music,https://drumbit.app/,2026-08-18T17:22:03+00:00,
playclassic.games,,F,27.8,Ad-saturated / hostile,34,11,3,0,0,3,1.4,2,2,Gaming,https://playclassic.games/,2026-08-13T17:57:57+00:00,
apps.npr.org,online,F,27.9,Ad-saturated / hostile,143,45,2,0,0,4,10.2,2,2,Reading,https://apps.npr.org/best-books/,2026-08-18T17:22:03+00:00,
images-of-elements.com,,E,28.0,Very heavy advertising,36,4,3,0,0,0,69.1,2,2,Educational,https://images-of-elements.com/,2026-08-13T17:57:57+00:00,
new.app.listonic.com,,E,28.0,Very heavy advertising,42,14,0,0,0,4,44.3,1,1,Misc,https://new.app.listonic.com/en,2026-08-14T17:12:05+00:00,
www.notebookcast.com,,E,28.0,Very heavy advertising,58,4,2,1,0,0,45.5,1,1,Educational,https://www.notebookcast.com/,2026-08-14T14:46:47+00:00,
animalslife.net,online,E,28.0,Very heavy advertising,32,7,2,0,0,7,15.0,1,1,Misc,https://animalslife.net/category/shelters/,2026-08-18T17:22:03+00:00,
gartic.io,,E,28.5,Very heavy advertising,108,55,0,0,0,3,34.1,1,1,Gaming,https://gartic.io/,2026-08-14T17:12:05+00:00,
letterboxd.com,,E,28.5,Very heavy advertising,156,62,0,0,0,3,70.5,2,2,Streaming,https://letterboxd.com/,2026-08-13T20:28:46+00:00,
